alpha,Mach,Reynolds,C_D
3.08,0.5231,8704777.0,0.036625
6.26,0.6674,314035.0,0.040228
7.86,0.4222,1233768.0,0.034771
11.69,0.7009,4033731.0,0.03845
12.58,0.6415,6057400.0,0.040539
10.7,0.7649,6756034.0,0.042644
15.81,0.4194,561339.0,0.038544
7.24,0.5501,6032920.0,0.031885
6.81,0.5436,1256197.0,0.037489
3.13,0.4376,7269669.0,0.034617
3.96,0.4499,1835162.0,0.034982
-4.34,0.7995,567399.0,0.051009
-2.01,0.4995,763943.0,0.03587
18.02,0.8091,1838775.0,0.051366
19.92,0.674,1738383.0,0.045482
-1.53,0.7173,5492787.0,0.038717
8.0,0.383,5687796.0,0.031858
14.28,0.3054,7965523.0,0.034079
2.95,0.3107,129600.0,0.04083
13.88,0.6847,318859.0,0.041798
4.41,0.6573,842092.0,0.039214
0.94,0.494,846052.0,0.036081
-2.0,0.3181,280022.0,0.034406
-3.84,0.614,591841.0,0.03759
11.79,0.7642,4930655.0,0.039947
13.21,0.5141,508984.0,0.036536
-1.98,0.8161,2985400.0,0.047196
14.38,0.5972,226401.0,0.041901
14.27,0.349,193189.0,0.040587
19.68,0.7927,3127654.0,0.042974
-2.56,0.3032,2322809.0,0.034507
-2.96,0.8184,530625.0,0.049614
-0.38,0.5613,4045404.0,0.035512
8.89,0.8281,1166601.0,0.051799
-0.1,0.3854,3571297.0,0.031145
13.14,0.6919,1112067.0,0.041936
3.95,0.7226,4390506.0,0.040521
14.22,0.7687,6134585.0,0.043888
18.85,0.7674,116698.0,0.050215
-0.45,0.6236,1014548.0,0.044465
16.79,0.3329,1308605.0,0.033315
3.71,0.7016,1670738.0,0.039252
-0.69,0.7863,102156.0,0.049148
-3.71,0.4431,1474445.0,0.034002
18.74,0.706,6998400.0,0.047746
-1.1,0.3793,885001.0,0.037156
9.75,0.7296,7844526.0,0.043393
1.97,0.3607,6343311.0,0.031225
2.3,0.3326,7593823.0,0.030362
-1.78,0.7462,4762074.0,0.042393
4.81,0.8439,202630.0,0.053591
6.48,0.7515,705117.0,0.045892
4.91,0.8359,7315375.0,0.048992
15.05,0.5529,4496918.0,0.032443
8.01,0.7212,179878.0,0.04922
-0.41,0.6071,5163922.0,0.040303
9.03,0.6465,171449.0,0.041665
-1.24,0.829,1012607.0,0.049199
-3.59,0.654,1800595.0,0.039575
9.02,0.6806,2782948.0,0.040006
-3.1,0.6809,9325721.0,0.039283
10.55,0.7614,1349790.0,0.049051
-2.1,0.6383,788662.0,0.039344
-1.32,0.8039,2597032.0,0.044189
4.11,0.7962,803302.0,0.043765
-4.21,0.4258,139806.0,0.037933
1.84,0.7255,7579913.0,0.039532
-0.19,0.802,464514.0,0.053486
9.85,0.7523,291357.0,0.044795
2.24,0.5457,9375666.0,0.034852
17.73,0.5422,366193.0,0.039375
13.3,0.5371,887866.0,0.040005
14.31,0.8473,623124.0,0.060359
7.43,0.4536,8681706.0,0.032027
3.22,0.7721,7098017.0,0.041213
0.72,0.7363,3349017.0,0.043678
-4.14,0.4921,4255366.0,0.035702
4.72,0.6122,5209853.0,0.040577
4.36,0.3143,5139504.0,0.032992
4.09,0.4807,1136062.0,0.035279
7.71,0.5835,145445.0,0.043157
17.18,0.6277,130352.0,0.046002
3.44,0.486,8441995.0,0.035098
8.57,0.4724,6384190.0,0.034647
12.12,0.6622,253078.0,0.045234
-4.86,0.6292,6467910.0,0.039292
-4.02,0.6633,992511.0,0.043305
3.02,0.3161,415964.0,0.036869
3.27,0.4031,2213283.0,0.033668
5.94,0.8231,1487509.0,0.049415
10.91,0.4028,4402710.0,0.035416
-3.37,0.5247,246367.0,0.037809
18.05,0.4287,668706.0,0.037243
-3.14,0.3983,436616.0,0.035824
19.64,0.5311,815293.0,0.037916
-0.34,0.3143,4242189.0,0.034322
18.16,0.6874,201873.0,0.044731
6.52,0.843,802483.0,0.052464
17.77,0.8112,213075.0,0.048128
12.11,0.3355,138796.0,0.039756
8.39,0.5652,9384724.0,0.036232
5.37,0.7038,171315.0,0.050004
17.69,0.6035,147800.0,0.041956
17.42,0.7145,128684.0,0.056091
-1.77,0.7574,3075336.0,0.04306
10.3,0.4854,112985.0,0.043861
-1.38,0.4922,7958349.0,0.033437
15.45,0.3445,3105201.0,0.033693
6.72,0.6985,1772050.0,0.041835
5.68,0.4261,1988019.0,0.03477
16.92,0.6992,2754692.0,0.03906
-4.64,0.8465,633436.0,0.053685
5.26,0.479,560456.0,0.039258
-1.65,0.6873,2442850.0,0.037062
4.52,0.7564,6297224.0,0.041874
3.92,0.4759,3229132.0,0.033073
11.79,0.6755,5669324.0,0.041081
1.78,0.5209,721088.0,0.034249
8.8,0.6704,287411.0,0.041331
2.12,0.3089,1814668.0,0.033921
14.63,0.5216,1934534.0,0.039329
-1.8,0.7565,177552.0,0.047124
1.47,0.5282,172318.0,0.039176
7.3,0.7147,1420943.0,0.045898
14.31,0.5259,600348.0,0.035071
18.74,0.6869,2139905.0,0.034924
15.19,0.4003,105368.0,0.040754
0.99,0.3876,364692.0,0.035854
19.25,0.3481,123199.0,0.037488
10.15,0.7991,1379683.0,0.048701
10.19,0.6105,8363366.0,0.036562
-1.59,0.7321,1468194.0,0.040617
-0.01,0.4187,825098.0,0.033277
-0.93,0.7054,212477.0,0.046437
1.23,0.6196,9403275.0,0.037438
15.09,0.5024,705414.0,0.037195
14.59,0.7837,5549423.0,0.04863
13.23,0.4296,7945549.0,0.030988
17.4,0.5068,865608.0,0.034153
2.61,0.3903,2076765.0,0.032675
18.72,0.3294,137633.0,0.038679
-1.95,0.3018,4894977.0,0.032365
-2.3,0.5459,2523122.0,0.035418
7.38,0.3563,111312.0,0.039718
15.32,0.6923,189908.0,0.04146
10.84,0.4246,8887705.0,0.035388
-4.08,0.6369,2463187.0,0.037831
19.67,0.3085,6180825.0,0.034095
12.67,0.6202,435138.0,0.041321
16.24,0.8078,201071.0,0.052613
5.69,0.5593,159311.0,0.042331
0.72,0.5794,4222787.0,0.036907
7.59,0.8377,191300.0,0.056194
9.97,0.3058,156916.0,0.040044
-1.51,0.3846,1484401.0,0.034667
19.5,0.6985,2970903.0,0.041836
6.4,0.6151,597503.0,0.039483
6.0,0.5322,434461.0,0.041489
10.03,0.5418,626628.0,0.036704
0.31,0.3397,1785335.0,0.036621
10.84,0.4315,3583388.0,0.03376
11.02,0.6769,1090627.0,0.03713
16.52,0.4828,1468039.0,0.036228
-3.87,0.6406,480405.0,0.039142
10.45,0.7068,483241.0,0.044911
-0.78,0.7443,1187931.0,0.041355
16.58,0.6373,385853.0,0.040364
4.16,0.614,1415625.0,0.034009
13.89,0.4755,551168.0,0.036479
3.13,0.4109,3795214.0,0.028947
-4.36,0.544,147304.0,0.037685
15.56,0.7997,4257449.0,0.047565
18.49,0.5302,3171243.0,0.037417
7.97,0.5541,121989.0,0.042596
-1.2,0.6604,6945184.0,0.035156
2.62,0.5123,154485.0,0.040202
-1.1,0.4792,962126.0,0.036197
2.28,0.4943,1926809.0,0.033093
19.29,0.413,9681209.0,0.035584
17.31,0.463,166876.0,0.041447
7.77,0.3755,562006.0,0.035499
-4.49,0.6279,1862890.0,0.03823
14.99,0.7982,688416.0,0.04861
2.79,0.5493,1810863.0,0.032163
1.0,0.7662,168452.0,0.047422
18.77,0.5068,2554558.0,0.034317
10.58,0.5986,454286.0,0.037687
16.05,0.7395,1222097.0,0.042324
9.81,0.5541,7637120.0,0.038675
15.21,0.6145,108754.0,0.044957
3.64,0.848,628066.0,0.051824
0.7,0.5879,171812.0,0.042752
-0.97,0.5785,3211858.0,0.039279
10.24,0.5926,811114.0,0.040738
2.77,0.5979,3829641.0,0.036609
17.71,0.3548,123280.0,0.038098
4.19,0.4469,1469983.0,0.036432
18.62,0.7858,3777413.0,0.045706
15.39,0.6339,152256.0,0.045245
-3.55,0.5258,222026.0,0.04103
5.46,0.7469,5680690.0,0.043708
7.85,0.6842,108698.0,0.056716
1.29,0.3948,1281470.0,0.037008
15.26,0.7005,400641.0,0.04365
-2.74,0.305,2490712.0,0.036189
19.99,0.7155,3873026.0,0.038804
-3.98,0.7691,625659.0,0.050039
11.56,0.3785,2474425.0,0.034062
8.48,0.4899,966608.0,0.035167
17.6,0.8134,1027489.0,0.047689
6.85,0.812,468160.0,0.04897
10.94,0.4949,974632.0,0.037431
7.34,0.4814,3334427.0,0.035561
19.14,0.3566,159058.0,0.037708
16.56,0.7643,2473442.0,0.043481
3.76,0.6724,839482.0,0.045658
12.83,0.334,5962225.0,0.035125
8.07,0.6071,1723599.0,0.038795
19.24,0.5274,366496.0,0.039292
0.32,0.7549,6559959.0,0.041672
17.37,0.4989,4108369.0,0.036116
-0.03,0.362,105118.0,0.037477
19.25,0.6714,585845.0,0.041108
-2.78,0.8359,494204.0,0.047811
16.3,0.6974,199450.0,0.04551
-1.48,0.3683,1024483.0,0.03584
-2.79,0.3928,554672.0,0.035162
2.02,0.5019,160786.0,0.043185
10.84,0.7077,797405.0,0.039087
14.02,0.5153,503304.0,0.035191
18.57,0.4892,105757.0,0.041748
16.65,0.7238,4297332.0,0.049244
1.46,0.7351,1634670.0,0.046162
5.09,0.6821,1915558.0,0.038611
7.32,0.673,7391525.0,0.040313
13.24,0.3593,152199.0,0.038492
12.6,0.666,230779.0,0.042678
-2.25,0.3131,172837.0,0.039047
10.81,0.3867,143044.0,0.040066
-3.08,0.5275,7843270.0,0.031003
-0.57,0.7198,492824.0,0.046833
1.18,0.7497,420188.0,0.048528
12.7,0.4354,1704905.0,0.033768
1.96,0.7324,6913711.0,0.041025
5.44,0.518,372756.0,0.039556
2.86,0.5833,2585142.0,0.037218
9.95,0.3328,9572167.0,0.03072
11.8,0.6342,358726.0,0.039731
16.65,0.361,737400.0,0.035516
-4.83,0.5695,8401273.0,0.037502
0.55,0.3299,5460071.0,0.032983
12.26,0.6862,225307.0,0.042874
-3.87,0.7425,755561.0,0.045547
15.88,0.3406,1180845.0,0.029776
-4.28,0.707,1217444.0,0.043979
15.2,0.4183,146893.0,0.036174
18.24,0.6115,565613.0,0.039287
16.62,0.7144,467532.0,0.040757
10.34,0.7241,521989.0,0.040297
-3.15,0.6249,1402413.0,0.041105
0.16,0.6749,281326.0,0.041617
8.12,0.531,211772.0,0.04071
5.8,0.586,138400.0,0.041911
2.52,0.3275,1112233.0,0.034992
14.04,0.5583,237817.0,0.040603
-0.74,0.573,6466977.0,0.032562
-2.16,0.7792,166442.0,0.05157
8.0,0.7712,3931794.0,0.041885
19.06,0.5783,140473.0,0.038907
10.51,0.8294,491351.0,0.050517
-0.45,0.6627,1522477.0,0.042881
16.84,0.678,1449361.0,0.042322
15.96,0.7565,6500462.0,0.040956
15.72,0.5782,3174988.0,0.035852
-0.34,0.3126,6496939.0,0.031214
7.57,0.5436,1799352.0,0.040751
18.32,0.7737,609383.0,0.047415
-3.41,0.4348,3197047.0,0.03468
8.67,0.4139,2952175.0,0.035687
1.05,0.398,1738862.0,0.034664
